          source           |     relationship     |          target           
 Pius XII                  | Leader Of            | Vatican
 Pius XII                  | Founder Of           | Vatican Bank
 Placa                     | Friend Of            | Giuliani
 Placa                     | Interacted With      | Helen
 Placa                     | Subordinate Of       | John McGann
 Platon                    | Lives In             | Banjaluka
 Platon                    | Lives In             | Banja Luka
 Platonic Academy in Athen | Lives In             | Athens
 podesta and people of Ber | Enemy Of             | Corrado da Yenosta
 Poe                       | Cousin Of            | Virginia Clemm
 Poe                       | Spouse Of            | Virginia Clemm
 Poitou                    | Subordinate Of       | De Rais
 Poland of Cremona         | Graduate Of          | University of Paris
 Poldzer-Hoditz            | Friend Of            | Charles
 Poldzer-Hoditz            | Colleague Of         | Charles
 Poletti                   | Lives In             | Rome
 Polly Klaas               | Attended             | Petaluma Junior High
 Polly Stevenson           | Child Of             | Mary Stevenson
 Polycarp                  | Student Of           | John
 Pomeroy                   | Subordinate Of       | Kinsey
 Pomeroy                   | Employee Of          | Kinsey
 Pomeroy                   | Colleague Of         | Kinsey
 Ponce                     | Enemy Of             | Rogier Bernat
 Pons                      | Lives In             | Narbonne
 Pons de I'Esparre         | Lives In             | Provence
 Pons de l'Esparre         | Member Of            | Dominicans
 Pons de Poyet             | Employee Of          | Inquisition of Languedoc
 Pons de Saint Gilles      | Leader Of            | Priory of Toulouse
 Pons de Saint-Gilles      | Lives In             | Italy
 Pons Feugeyron            | Employee Of          | Geneva
 Pons of Karbonne          | Supporter Of         | council of Lombers
 Pontifical Institute      | Lives In             | Rome
 Pontifical University of  | Lives In             | Rome
 Pontius Gongordan         | Member Of            | Jesuits
 Pontius Pilate            | Leader Of            | Judea
 Poor of Lyons             | Supporter Of         | Waldo
 poor old woman at Pamiers | Lives In             | Pamiers
 pope                      | Owner Of             | Institute for Works of Re
 pope                      | Leader Of            | Roman Church
 Pope Alexander            | Superior Of          | Adriano de Castello
 Pope Alexander            | Parent Of            | Cesare
 Pope Alexander            | Enemy Of             | Giovanni Baptista Ferrari
 Pope Alexander            | Adversary Of         | Henry II of England
 Pope Alexander            | Parent Of            | Juan
 Pope Alexander            | Parent Of            | Lucrezia
 Pope Alexander            | Associate Of         | Vannozza dei Cattanei
 Pope Alexander III        | Supporter Of         | Waldenses
 Pope Alexander VI         | Parent Of            | Cesare
 Pope Alexander VI         | Member Of            | House of Borgia
 Pope Alexander VI         | Parent Of            | Lucrezia de Borgia
 Pope Alexander VI         | Opponent Of          | Savonarola
 Pope Alexander VI         | Interacted With      | Spain
 Pope Alexander VII        | Enemy Of             | Gratiosa
 Pope Alexander VII        | Enemy Of             | Spara
 Pope Benedict XV          | Superior Of          | Joan of Arc
 Pope Boniface VIII        | Leader Of            | Holy See
 Pope Celestine III        | Enemy Of             | Heinrich VI
 Pope Celestine III        | Enemy Of             | Leopold of Austria
 Pope Clement V            | Opponent Of          | Knights Templar
 Pope Clement V            | Collaborator Of      | Philip IV
 Pope Clement VII          | Aunt/Uncle Of        | Catherine de Medici
 Pope Clement VIII         | Leader Of            | Aldobrandini
 Pope Clement XI           | Mentor Of            | St. Pope Pius V
 Pope Clement XIV          | Leader Of            | Jesuits
 Pope Clement XIV          | Leader Of            | Society of Jesus
 Pope Damasus              | Leader Of            | Roman Church
 Pope Francis              | Employer Of          | Archbishop Vincenzo Pagli
 Pope Francis              | Associate Of         | Evangelii Gaudium
 Pope Francis              | Member Of            | Jesuits
 Pope Francis              | Interacted With      | Shimon Peres
 Pope Gregory IX           | Employer Of          | Dictatus papae
 Pope Gregory IX           | Employer Of          | Dominicans
 Pope Gregory IX           | Adversary Of         | Frederick II
 Pope Gregory IX           | Founder Of           | Inquisition
 Pope Gregory IX           | Founder Of           | Pontifical Inquisition
 Pope Gregory XIII         | Leader Of            | Company
 Pope Gregory XIII         | Employer Of          | Company
 Pope Gregory XIII         | Employer Of          | Jesuits
 Pope Gregory XVI          | Employer Of          | Kalman [Karl] Rothschild
 Pope Gregory XVI          | Interacted With      | Kalmann (Carl) Mayer Roth
 Pope Innocent III         | Supporter Of         | King John
 Pope Innocent III         | Critic Of            | Magna Carta
 Pope Innocent III         | Opponent Of          | Magna Carta
 Pope Innocent III         | Employer Of          | Stephen Langton
 Pope Innocent III         | Superior Of          | Stephen Langton
 Pope Innocent III         | Lives In             | Westminster Abbey
 Pope Innocent IV          | Employer Of          | Pope Innocent IV
 Pope John                 | Leader Of            | Vatican
 Pope John                 | Leader Of            | Vietnam
 Pope John Paul II         | Interacted With      | attempted shooting of Pop
 Pope John Paul II         | Colleague Of         | Black Pope
 Pope John Paul II         | Leader Of            | Catholic Church
 Pope John Paul II         | Adversary Of         | Society of Jesus
 Pope John XI              | Child Of             | Marozia
 Pope John XXIII           | Founder Of           | Establishment of ordinary
 Pope John XXIII           | Interacted With      | Ho Chi Minh
 Pope John XXIII           | Interacted With      | Ho Chin Minh
 Pope John XXIII           | Founder Of           | Vatican Council II
 Pope Leo                  | Superior Of          | Frederick
 Pope Leo                  | Sibling Of           | Guiliano
 Pope Leo III              | Leader Of            | Charlemagne
 Pope Leo X                | Grandparent Of       | Catherine de Medici
 Pope Leo X                | Employer Of          | Johannes Tetzel
 Pope Leo X                | Child Of             | Lorenzo d’Medici
 Pope Marcellus II.        | Lives In             | Rome
 Pope Marcellus II.        | Lives In             | Tuscany
 Pope Paul                 | Leader Of            | Holy See
 Pope Paul III             | Employer Of          | Fracastoro
 Pope Paul III             | Leader Of            | Roman Catholic Church
 Pope Paul III             | Employer Of          | Society of Jesus
 Pope Paul III             | Founder Of           | Society of Jesus
 Pope Paul VI              | Employer Of          | Mgr. Seper
 Pope Pius II              | Leader Of            | Council of Mantua
 Pope Pius II              | Lives In             | Mantua
 Pope Pius IX              | Leader Of            | Southern Confederacy
 Pope Pius IX              | Employer Of          | Ubi primum
 Pope Pius V               | Associate Of         | Charles IX
 Pope Pius V               | Employer Of          | In coena Domini
 Pope Pius VII             | Employer Of          | Society of Jesus
 Pope Pius XI              | Associate Of         | Aquinas
 Pope Pius XI              | Leader Of            | Catholic Party
 Pope Pius XI              | Interacted With      | Mussolini
 Pope Pius XI              | Employer Of          | Osservatore Romano
 Pope Pius XI              | Leader Of            | Studiorum Ducem
 Pope Pius XI              | Leader Of            | The Church
